riotIdGameName,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.laneMinionsFirst10Minutes.1,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.killParticipation.1,challenges.kda.1,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,totalHealsOnTeammates,challenges.effectiveHealAndShielding,totalTimeCCDealt,challenges.wardTakedownsBefore20M,junglecsPerMinute,csPerMinute,timeDead,role
Otillo XIII,1,100.0,2156.445867252553,1.0,706.2004513903785,3.3846153846153846,0.4888888888888889,37.0,0.0,0.0,62.0,0.0,0.1863641662362252,0.0,29.0,0.0,222.0,4219.0,4219.0,0.0,0.0,15.0,13.0,0.0,,,30612.0,19293.0,0.0,0.0,0.0,112.0,37.0,,1639.0,0.0,1.0,0.4888888888888889,3.3846153846153846,0.1075821532181302,412.0,18.0,,0.0,0.0,128.0,0.0,0.0,4.100061012812691,0.2513727882855399,aram
OutlandishGoat,1,0.0,1583.3332981430744,0.0,781.9936444942005,2.090909090909091,0.8518518518518519,22.0,0.0,0.0,16.0,0.0,0.3227921442044276,0.0,14.0,0.0,498.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,,,10262.0,9558.0,0.0,0.0,0.0,22.0,22.0,,733.0,0.0,0.0,0.8518518518518519,2.090909090909091,0.2148634034980174,204.0,13.0,,0.0,0.0,7.0,0.0,0.0,1.800818553888131,0.2783083219645293,aram
OwlBaron,1,0.0,1143.0451889915398,0.0,701.2928857819194,1.933333333333333,0.5918367346938775,14.0,0.0,0.0,32.0,0.0,0.1369737221848845,0.0,20.0,0.0,48.0,346.0,346.0,0.0,0.0,9.0,15.0,0.0,,,13664.0,10505.0,0.0,0.0,0.0,29.0,14.0,,897.0,0.0,1.0,0.5918367346938775,1.933333333333333,0.3336624926477312,313.0,15.0,,249.0,249.4115753173828,237.0,0.0,0.0,1.939799331103679,0.3489409141583054,aram
Owlet,1,0.0,1231.1140277455706,3.0,644.3883945517072,2.7,0.6136363636363636,21.0,0.0,0.0,70.0,1.0,0.1981974544323914,0.0,22.0,0.0,498.0,879.0,879.0,0.0,1.0,5.0,10.0,0.0,,,15307.0,10199.0,0.0,0.0,0.0,57.0,21.0,,949.0,0.0,0.0,0.6136363636363636,2.7,0.162760967354678,223.0,16.0,,0.0,0.0,14.0,0.0,0.0,3.603793466807165,0.2349841938883034,aram
OxySkin,1,0.0,904.9995578478522,0.0,644.7548821039031,1.1875,0.4042553191489361,20.0,0.0,0.0,23.0,0.0,0.1367096176808353,0.0,11.0,0.0,67.0,208.0,208.0,0.0,0.0,8.0,16.0,0.0,,,17073.0,12006.0,0.0,0.0,0.0,34.0,20.0,,1117.0,0.0,3.0,0.4042553191489361,1.1875,0.2022042107091411,370.0,17.0,,0.0,0.0,39.0,0.0,0.0,1.8263205013428827,0.3312444046553268,aram
Oxyy,1,100.0,1332.545796281227,5.0,763.6114029129344,4.8,0.7272727272727273,12.0,0.0,0.0,36.0,0.0,0.2316835128391346,0.0,14.0,0.0,76.0,2392.0,2392.0,0.0,0.0,10.0,5.0,0.0,,,12638.0,10242.0,0.0,0.0,0.0,15.0,12.0,,804.0,0.0,0.0,0.7272727272727273,4.8,0.1626070627154059,87.0,14.0,,1480.0,1480.142578125,0.0,0.0,0.0,1.1194029850746268,0.1082089552238805,aram
Oydrey,1,0.0,2338.874670604593,0.0,701.5403428394075,4.222222222222222,0.7037037037037037,29.0,0.0,0.0,50.0,0.0,0.308926503341497,0.0,21.0,1.0,910.0,3125.0,3125.0,0.0,12.0,17.0,9.0,0.0,,,25504.0,18524.0,0.0,0.0,0.0,96.0,29.0,,1584.0,0.0,1.0,0.7037037037037037,4.222222222222222,0.1202622890820488,277.0,18.0,,0.0,0.0,541.0,0.0,0.0,3.6363636363636367,0.1748737373737373,aram
PAK Fharto,1,0.0,2112.0430651077027,27.0,633.6791836713603,4.307692307692308,0.6436781609195402,6.0,0.0,0.0,183.0,0.0,0.1675537248147887,0.0,36.0,0.0,84.0,1194.0,1194.0,0.0,3.0,20.0,13.0,0.0,,,35848.0,19686.0,0.0,0.0,0.0,34.0,6.0,,1863.0,0.0,1.0,0.6436781609195402,4.307692307692308,0.2091171450416231,387.0,18.0,,671.0,671.2503662109375,48.0,0.0,0.0,1.0950080515297906,0.2077294685990338,aram
PALESTINEfreee,1,100.0,1513.8543560538944,6.0,624.8920385024472,3.857142857142857,0.6136363636363636,8.0,0.0,0.0,59.0,0.0,0.18569435088533,0.0,24.0,0.0,63.0,699.0,699.0,0.0,2.0,3.0,7.0,0.0,,,10222.0,7263.0,0.0,0.0,0.0,11.0,8.0,,697.0,0.0,0.0,0.6136363636363636,3.857142857142857,0.1647255190595488,146.0,13.0,,0.0,0.0,24.0,0.0,0.0,0.9469153515064562,0.2094691535150645,aram
PDFfile hunter,2,50.0,1359.1038037151152,1.5,630.6283375530849,3.3,0.585,15.5,0.0,0.0,29.0,0.0,0.1797008505625449,0.0,25.0,2.5,55.5,651.5,651.5,0.0,1.5,8.0,10.0,0.0,,,16096.0,11875.0,0.0,0.0,0.0,33.5,15.5,,1132.0,0.0,0.5,0.585,3.3,0.1951369309201877,220.5,16.0,,0.0,0.0,94.0,0.0,0.0,1.8306906226369315,0.19764185871568418,aram
