riotIdGameName,role,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.laneMinionsFirst10Minutes.1,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.killParticipation.1,challenges.kda.1,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,win_percent
Miti,jungle,3,66.67,451.3753566438761,0.3333333333333333,332.84455796260966,1.9000000000000001,0.32804232804232797,1.6666666666666667,0.0,0.0,20.0,0.0,0.1419001457903711,0.726268969456998,5.333333333333333,1.3333333333333333,130.33333333333334,539.3333333333334,17342.666666666668,0.0,3.0,3.6666666666666665,5.333333333333333,1.6666666666666667,0.0,0.0,11049.666666666666,8862.0,122.0,92.33333333333333,5.666666666666667,11.0,1.6666666666666667,4.450000017881393,1577.0,0.0,0.6666666666666666,0.32804232804232797,1.9000000000000001,0.25276615840821365,192.66666666666666,12.666666666666666,1.0,
Ohm,carry,1,0.0,442.4651898288288,0.0,291.6562520760708,0.7,0.3333333333333333,58.0,0.0,0.0,17.0,0.0,0.1834730769446682,0.6352609269562821,4.0,15.0,80.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,11504.0,8015.0,1.0,1.0,0.0,134.0,58.0,7.0,1648.0,0.0,1.0,0.3333333333333333,0.7,0.1912683201737114,281.0,14.0,1.0,
Robin,carry,11,54.55,976.1524490484259,4.090909090909091,476.1260168384258,3.6059622195985837,0.4729576585674105,69.0909090909091,0.09090909090909091,0.0,38.81818181818182,0.0,0.28730201213930495,0.610019667050381,6.363636363636363,5.7272727272727275,379.90909090909093,5802.636363636364,14847.454545454546,0.0,11.909090909090908,10.909090909090908,6.636363636363637,0.09090909090909091,0.18181818181818182,0.45454545454545453,17587.454545454544,14900.727272727272,12.181818181818182,5.090909090909091,2.1818181818181817,219.1818181818182,69.0909090909091,43.79545455087315,1839.090909090909,2.5454545454545454,2.8181818181818183,0.4729576585674105,3.6059622195985837,0.22337109620546267,201.27272727272728,15.818181818181818,2.1818181818181817,
Sudan,jungle,12,75.0,1136.9206502651014,5.333333333333333,497.7283491865414,10.329166666666667,0.6515634116462604,4.916666666666667,0.25,0.0,52.583333333333336,0.0,0.30886943935895117,0.9212557340321711,10.5,10.083333333333334,360.9166666666667,4620.25,51603.25,0.0,5.166666666666667,12.0,3.3333333333333335,2.5,0.16666666666666666,0.4166666666666667,19680.333333333332,16068.75,197.5,72.58333333333333,14.916666666666666,47.916666666666664,4.916666666666667,65.70833340535562,1952.1666666666667,1.0,2.1666666666666665,0.6515634116462604,10.329166666666667,0.28177349732150053,111.91666666666667,17.166666666666668,2.75,
Sudan,support,4,25.0,726.480867017229,4.0,332.99098230749473,3.9375,0.6386859582542694,9.25,0.0,0.75,38.25,0.25,0.20394652133223143,1.7695459957977033,13.25,12.5,52.0,781.75,3990.0,0.0,3.75,5.5,5.5,0.25,0.25,0.25,12371.5,10420.75,1.5,0.5,0.0,37.75,9.25,12.300000004470348,1871.0,2.5,0.75,0.6386859582542694,3.9375,0.16530044569015487,147.25,14.0,2.0,
Tino,carry,11,63.64,844.4428600008877,6.636363636363637,406.95393977990204,2.560104289649744,0.4117790469764154,63.54545454545455,0.0,0.0,50.63636363636363,0.0,0.23378474730943297,0.6784454170746678,8.0,2.3636363636363638,54.54545454545455,5956.818181818182,11157.0,0.0,2.6363636363636362,5.0,6.636363636363637,0.2727272727272727,0.09090909090909091,0.09090909090909091,15959.545454545454,12612.727272727272,7.363636363636363,2.3636363636363638,0.5454545454545454,203.27272727272728,63.54545454545455,22.40000000325116,1824.090909090909,2.272727272727273,1.6363636363636365,0.4117790469764154,2.560104289649744,0.2455306963621022,204.63636363636363,15.818181818181818,1.3636363636363635,
Tino,jungle,22,45.45,751.8810160431617,5.181818181818182,415.4449300960828,2.4938442870261053,0.5065203556046379,6.318181818181818,0.13636363636363635,0.0,41.81818181818182,0.045454545454545456,0.20425909055584288,0.8521428561376511,7.636363636363637,6.2727272727272725,68.18181818181819,2084.5454545454545,34452.59090909091,0.0,1.1363636363636365,7.318181818181818,7.363636363636363,1.7272727272727273,0.045454545454545456,0.09090909090909091,15873.636363636364,12897.90909090909,153.86363636363637,97.77272727272727,11.636363636363637,50.40909090909091,6.318181818181818,39.73409094593742,1839.3181818181818,0.45454545454545453,1.7272727272727273,0.5065203556046379,2.4938442870261053,0.2452860861975304,225.54545454545453,15.681818181818182,1.8181818181818181,
Tino,support,8,37.5,524.8070140566746,2.25,307.4491720482612,1.8114583333333334,0.4717978638833281,11.25,0.0,0.75,30.625,0.0,0.16737321452540047,1.9564927188433172,8.75,7.0,202.5,1107.25,4090.0,0.0,2.75,3.875,6.75,0.0,0.0,0.0,10680.625,8736.0,1.75,0.625,1.125,42.625,11.25,15.431250005960464,1698.875,1.625,0.625,0.4717978638833281,1.8114583333333334,0.15419965701079028,166.25,12.625,1.25,
WasAecac,jungle,28,75.0,490.28314964550316,4.392857142857143,364.3329958961423,2.243380429094715,0.36257195715916735,1.3928571428571428,0.0,0.0,38.75,0.03571428571428571,0.13074322266253452,0.6589941687328846,8.071428571428571,0.10714285714285714,180.89285714285714,441.17857142857144,38756.78571428572,0.0,0.03571428571428571,4.392857142857143,6.75,1.5714285714285714,0.03571428571428571,0.14285714285714285,15155.142857142857,11250.357142857143,157.82142857142858,109.21428571428571,9.321428571428571,19.5,1.3928571428571428,23.814285734934465,1848.892857142857,0.0,0.7142857142857143,0.36257195715916735,2.243380429094715,0.2871064331197845,221.25,15.0,1.5357142857142858,
WasAecac,support,1,100.0,283.73275796190126,0.0,237.9559522526324,1.1111111111111112,0.25,13.0,0.0,0.0,16.0,0.0,0.0853812496602203,1.3649293761447516,10.0,0.0,32.0,332.0,8225.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12213.0,7639.0,0.0,0.0,0.0,37.0,13.0,3.0,1925.0,1.0,0.0,0.25,1.1111111111111112,0.1324474147602455,196.0,14.0,2.0,
All_jungle,jungle,96,,715.9514045584646,4.78125,407.57500714323834,3.9336873774373777,0.49338798779066656,3.7395833333333335,0.08333333333333333,0.0,42.1875,0.041666666666666664,0.19446858111602458,0.7553696874951469,8.625,3.875,157.875,1589.03125,33975.895833333336,0.0,2.25,7.1875,6.197916666666667,1.65625,0.07291666666666667,0.14736842105263157,15879.479166666666,12736.84375,159.89583333333334,104.48958333333333,9.802083333333334,34.864583333333336,3.7395833333333335,33.21927087505659,1865.1458333333333,0.28125,1.4375,0.49338798779066656,3.9336873774373777,0.2612368686454479,198.05208333333334,15.520833333333334,1.7916666666666667,58.33
All_support,support,48,,436.4590442909941,2.7083333333333335,308.3222517360949,3.531051587301587,0.5087321854091941,12.458333333333334,0.0,1.375,35.604166666666664,0.041666666666666664,0.12760335843762835,1.8128546904781355,13.145833333333334,10.5,237.6875,1055.0833333333333,3241.1458333333335,0.0,8.833333333333334,3.3333333333333335,6.125,0.041666666666666664,0.041666666666666664,0.0851063829787234,11794.9375,9241.9375,1.0416666666666667,0.3958333333333333,0.3125,41.520833333333336,12.458333333333334,16.172916668777663,1812.5625,1.625,0.4375,0.5087321854091941,3.531051587301587,0.16220500278539215,149.5,13.395833333333334,1.5208333333333333,41.67
All_carry,carry,242,,703.8900830766214,2.628099173553719,428.4608147536842,3.6917744560306547,0.43913974228056174,61.396694214876035,0.004132231404958678,0.024793388429752067,33.19421487603306,0.03305785123966942,0.21113654059914416,0.4942342262580472,6.045454545454546,10.359504132231406,151.08677685950414,4608.665289256199,13269.363636363636,0.0,13.037190082644628,6.347107438016529,5.223140495867769,0.19834710743801653,0.10416666666666667,0.15481171548117154,14103.347107438016,12580.165289256198,6.479338842975206,2.34297520661157,0.9132231404958677,206.56198347107437,61.396694214876035,31.8871369312413,1747.309917355372,1.628099173553719,0.7066115702479339,0.43913974228056174,3.6917744560306547,0.15913807981394756,145.5702479338843,14.801652892561984,1.6182572614107884,52.48
